SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative,Concat
7931083778,0.035497685,709567821,0.01,0.01,2,2,3.25,Football,Premier League,Wolverhampton Wanderers - Fulham,Total Corners,Total Corners,Total Corners,"Under 7,5",7545210,1.4366,1.0377,0.9525,0.4511,4,7,19,Dynamic,4,1st Half Inj Time decreased,2,-2,"7545210Under 7,5Total Corners"
7925449512,0.01431713,709567821,0.01,0.06,5,5,2.8,Football,Bundesliga,RB Leipzig - 1. FC Heidenheim,Total Corners,Total Corners,Total Corners,"Over 11,5",7558265,2.5075,0.7256,0.9584,0.4483,3,6,45,Dynamic,3,No change in 1st Half Inj Time,0,0,"7558265Over 11,5Total Corners"
7790723604,0.006006944,705955891,0.3,0.3,204.7324884,-122.839493,1.6,Football,Primeira Liga,CD Santa Clara - SC Farense,CD Santa Clara - Total Corners,Strong Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 9,5",7531815,2.0783,0.4611,0.7,0.437,3,5,73,Dynamic,2,1st Half Inj Time increased,1,1,"7531815Over 9,5Strong Jolly - Total Corners"
7927211149,0.018402778,706397936,0.01,0.01,0.836737,-0.44347061,1.53,Football,"Liga MX, Clausura",Club Santos Laguna - Atlas FC,Total Corners,Total Corners,Total Corners,"Over 8,5",7561917,1.1205,1.4402,0.9508,0.437,5,5,55,Dynamic,2,1st Half Inj Time increased,3,3,"7561917Over 8,5Total Corners"
7914154715,0.027199074,709377717,0.01,0.01,0.20782333,0.04022387,2.35,Football,UEFA Champions League,Real Madrid - Manchester City,Real Madrid - Total Corners,Medium Jolly - Total Corners,Slight Corner Dog - Total Corners,"Over 7,5",7559922,1.9194,1.2255,0.8459,0.4366,2,5,38,Dynamic,2,No change in 1st Half Inj Time,0,0,"7559922Over 7,5Medium Jolly - Total Corners"
7754935108,0.0278125,577284135,0.3,0.3,0.18235962,-0.08963439,1.49,Football,Trofeo de Campeones,Velez Sarsfield - Estudiantes de La Plata,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 5,5",7530739,1.3546,1.1439,0.9554,0.4931,2,5,37,Dynamic,2,1st Half Inj Time decreased,1,-1,"7530739Over 5,51st Half - Total Corners"
7876100009,0.02443287,708954202,0.01,0.3,58.1931805,58.1931805,3.4,Football,Copa del Rey,Valencia CF - FC Barcelona,Most Corners,Most Corners,Most Corners,Valencia CF,7541570,0.8903,2.4419,0.9773,0.4477,2,5,4,Dynamic,2,No change in 1st Half Inj Time,0,0,7541570Valencia CFMost Corners
7628903565,0.022002315,702939698,0.01,1,101.1944991,-111.313949,2.1,Football,Brasileiro Serie A,EC Juventude Caxias do Sul RS - EC Bahia BA,EC Bahia BA - Total Corners,Slight Dog - Total Corners,Slight Corner Jolly - Total Corners,"Under 2,5",7504432,1.6978,1.2754,0.9544,0.437,2,5,31,Dynamic,2,1st Half Inj Time increased,3,3,"7504432Under 2,5Slight Dog - Total Corners"
7834889013,0.030289352,708162414,0.01,0.99,9,9,4.75,Football,UEFA Champions League,Feyenoord Rotterdam - Bayern Munich,Total Corners,Total Corners,Total Corners,"Under 13,5",7530347,0.7399,3.5071,0.9651,0.437,7,5,75,Dynamic,2,1st Half Inj Time increased,5,5,"7530347Under 13,5Total Corners"
7827087766,0.009618056,708239459,0.01,0.3,72.4942125,72.4942125,1.72,Football,Primeira Liga,CF Estrela da Amadora - SC Braga,Total Corners,Total Corners,Total Corners,"Under 7,5",7535369,0.8765,1.6746,0.9593,0.4554,1,5,53,Dynamic,2,1st Half Inj Time decreased,1,-1,"7535369Under 7,5Total Corners"
7822030915,0.009826389,708239459,0.01,0.3,16.109825,-24.97022875,2.55,Football,Premier League,Newcastle United - AFC Bournemouth,Total Corners,Total Corners,Total Corners,"Under 13,5",7531525,1.9937,1.104,0.935,0.437,4,7,81,Dynamic,4,No change in 1st Half Inj Time,0,0,"7531525Under 13,5Total Corners"
7902914163,0.040162037,502930185,0.01,0.01,2,2,4.1,Football,Bundesliga,Union Berlin - Borussia Monchengladbach,Total Corners,Total Corners,Total Corners,"Over 11,5",7543786,1.6643,1.2649,0.9246,0.437,6,6,65,Dynamic,3,1st Half Inj Time increased,3,3,"7543786Over 11,5Total Corners"
7909459607,0.004375,502930185,0.01,0.01,2,-6,4,Football,Primeira Liga,Gil Vicente FC - FC Famalicao,Total Corners,Total Corners,Total Corners,"Over 14,5",7558570,1.3363,0.9813,0.9528,0.437,1,5,45,Dynamic,2,1st Half Inj Time decreased,1,-1,"7558570Over 14,5Total Corners"
7903978469,0.005949074,708890188,0.01,1,21.9412182,2.87562935,1.75,Football,Gaucho,Ypiranga FC Erechim RS - Gremio FB Porto Alegrense RS,2nd Half - Total Corners,2nd Half - Total Corners,2nd Half - Total Corners,"Over 5,5",7557347,0.9837,1.3512,0.9602,0.4478,2,5,37,Dynamic,2,1st Half Inj Time increased,4,4,"7557347Over 5,52nd Half - Total Corners"
7599356410,0.022025463,566267657,0.5,0.5,238.09665,238.09665,2.5,Football,Ligue 1,AS Monaco - Angers SCO,Total Corners,Total Corners,Total Corners,"Under 6,5",6579310,2.7305,0.6455,0.9372,0.437,5,6,68,Dynamic,3,1st Half Inj Time increased,2,2,"6579310Under 6,5Total Corners"
7926647812,0.029918981,502930185,0.01,0.01,2,2,2.35,Football,Ligue 1,Olympique Lyon - Paris Saint-Germain,Olympique Lyon - Total Corners,Strong Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 2,5",7561315,0.9221,2.427,0.9341,0.414,2,6,45,Dynamic,3,1st Half Inj Time decreased,1,-1,"7561315Under 2,5Strong Dog - Total Corners"
7807447627,0.02744213,502930185,0.01,0.06,5,5,5.25,Football,FA Cup,Newcastle United - Bromley FC,Total Corners,Total Corners,Total Corners,"Under 7,5",7525523,3.074,0.4132,0.9008,0.437,2,5,79,Dynamic,2,No change in 1st Half Inj Time,0,0,"7525523Under 7,5Total Corners"
7611019246,0.008634259,701973153,0.01,0.01,2,-4.8,3.4,Football,Serie A,SS Lazio - Cagliari,Total Corners,Total Corners,Total Corners,"Under 6,5",7501391,1.7738,0.9053,0.951,0.4433,3,6,25,Dynamic,3,1st Half Inj Time decreased,2,-2,"7501391Under 6,5Total Corners"
7931239597,0.036840278,706434016,0.01,1,62.2404289,62.2404289,1.68,Football,Copa del Rey,FC Barcelona - Atletico Madrid,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Under 6,5",7562699,2.168,0.9319,0.9577,0.4453,2,5,22,Dynamic,2,No change in 1st Half Inj Time,0,0,"7562699Under 6,51st Half - Total Corners"
7916407432,0.015833333,708705614,0.01,0.01,2,2,2.6,Football,UEFA Europa League,FK Bodo/Glimt - FC Twente,FC Twente - Total Corners,Medium Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 2,5",7559925,2.0425,1.2359,0.9471,0.437,1,5,80,Dynamic,2,1st Half Inj Time decreased,1,-1,"7559925Over 2,5Medium Dog - Total Corners"
7603008941,0.024699074,566225400,0.5,0.5,178.5724875,178.5724875,2.75,Football,Premier League,Nottingham Forest - West Ham United,Total Corners,Total Corners,Total Corners,"Under 13,5",6569825,1.6458,0.9438,0.9332,0.437,3,7,75,Dynamic,4,1st Half Inj Time decreased,1,-1,"6569825Under 13,5Total Corners"
7837101039,0.016875,708401856,0.01,1,152.1921565,152.1921565,1.62,Football,UEFA Europa League,Qarabag FK - Fotbal Club FCSB,Fotbal Club FCSB - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 3,5",7530348,1.7504,1.0047,0.9209,0.437,4,5,76,Dynamic,2,1st Half Inj Time increased,2,2,"7530348Under 3,5Medium Dog - Total Corners"
7756730033,0.032696759,703873569,0.01,0.99,69,-165.6,3.4,Football,Premier League,Manchester United - AFC Bournemouth,Total Corners,Total Corners,Total Corners,"Over 12,5",7521780,1.9615,1.0408,0.9366,0.437,1,7,45,Dynamic,4,1st Half Inj Time decreased,3,-3,"7521780Over 12,5Total Corners"
7757910445,0.004791667,703873569,0.01,0.99,69,69,2.55,Football,Premier League,Tottenham Hotspur - Liverpool,Liverpool FC - Total Corners,Medium Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Under 3,5",7521799,1.1812,2.1368,0.9213,0.437,2,7,78,Dynamic,4,1st Half Inj Time decreased,2,-2,"7521799Under 3,5Medium Jolly - Total Corners"
7843236246,0.024861111,708458322,0.01,0.3,42.0613908,42.0613908,2.25,Football,Pro League,Club Brugge - KV Kortrijk,KV Kortrijk - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 1,5",7532881,3.1838,0.6827,0.9484,0.5135,3,5,45,Dynamic,2,1st Half Inj Time increased,1,1,"7532881Over 1,5Strong Dog - Total Corners"
7870792078,0.01193287,708837452,0.01,1,124.4268469,124.4268469,2.25,Football,Championship,Burnley - Oxford United,Oxford United - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Under 2,5",7541817,1.7084,0.5007,0.9713,0.4549,3,6,31,Dynamic,3,1st Half Inj Time decreased,2,-2,"7541817Under 2,5Strong Dog - Total Corners"
7795330829,0.014166667,707784660,0.01,0.3,175.6236048,-240.6043386,2.37,Football,EFL Cup,Arsenal - Newcastle United,Newcastle United - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 1,5",7531246,2.3221,0.769,0.9737,0.437,2,5,62,Dynamic,2,No change in 1st Half Inj Time,0,0,"7531246Under 1,5Strong Dog - Total Corners"
7741488651,0.025162037,646823706,0.3,1,84.46053768,-190.0362098,3.25,Football,Super Lig,Galatasaray SK - Trabzonspor,Total Corners,Total Corners,Total Corners,"Over 14,5",7525372,2.7831,0.988,0.9562,0.437,2,5,74,Dynamic,2,No change in 1st Half Inj Time,0,0,"7525372Over 14,5Total Corners"
7870775733,0.007372685,708837452,0.01,1,272.7049527,272.7049527,3.2,Football,Championship,Burnley - Oxford United,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Under 5,5",7541817,1.7084,0.5007,0.9713,0.4549,3,6,24,Dynamic,3,1st Half Inj Time decreased,2,-2,"7541817Under 5,51st Half - Total Corners"
7700730324,0.008680556,703081072,0.01,0.3,82.76352,-95.178048,2.15,Football,DFB Pokal,Bayern Munich - Bayer Leverkusen,Bayer Leverkusen - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 4,5",7509850,1.5778,1.0337,0.9566,0.4484,2,5,24,Dynamic,2,1st Half Inj Time increased,1,1,"7509850Under 4,5Medium Dog - Total Corners"
7870672445,0.026631944,708799268,0.01,1,410.8087453,-299.890384,1.73,Football,Coupe de France,ESTAC Troyes - Stade Brest 29,Total Corners,Total Corners,Total Corners,"Under 6,5",7545283,1.0797,1.3106,0.9711,0.437,1,5,79,Dynamic,2,1st Half Inj Time decreased,1,-1,"7545283Under 6,5Total Corners"
7881032623,0.001087963,703941621,0.06,0.06,25,25,1.8,Football,FA Cup,Leyton Orient - Manchester City,Manchester City - Total Corners,Strong Jolly - Total Corners,Strong Corner Jolly - Total Corners,"Over 12,5",7538932,0.4453,3.5337,0.9157,0.4471,6,5,45,Dynamic,2,1st Half Inj Time increased,4,4,"7538932Over 12,5Strong Jolly - Total Corners"
7906173581,0.02037037,709343236,0.01,1,141.2881475,141.2881475,2.15,Football,LaLiga,Espanyol Barcelona - Athletic Bilbao,Total Corners,Total Corners,Total Corners,"Under 6,5",7557523,0.6061,1.6326,0.9516,0.437,3,7,67,Dynamic,4,1st Half Inj Time decreased,1,-1,"7557523Under 6,5Total Corners"
7680921596,0.023912037,702854576,0.01,1,23.5,23.5,5.25,Football,CAF Confederations Cup,Zamalek SC - Black Bulls FC,Total Corners,Total Corners,Total Corners,"Under 4,5",7519788,3.3173,0.5193,0.9281,0.522,3,5,74,Dynamic,2,1st Half Inj Time increased,1,1,"7519788Under 4,5Total Corners"
7909057471,0.008449074,704235552,0.01,0.01,1,-1.9,2.9,Football,Super Lig,Caykur Rizespor - Galatasaray SK,Total Corners,Total Corners,Total Corners,"Over 8,5",7558300,1.2013,2.0298,0.9348,0.437,3,5,49,Dynamic,2,1st Half Inj Time increased,1,1,"7558300Over 8,5Total Corners"
7902969591,0.006215278,708863603,0.01,0.99,120,120,2,Football,LaLiga,CA Osasuna - Real Madrid,CA Osasuna - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Over 6,5",7557324,1.0345,1.9658,0.9594,0.437,2,7,45,Dynamic,4,1st Half Inj Time decreased,2,-2,"7557324Over 6,5Medium Dog - Total Corners"
7812728529,0.028981481,704444815,0.01,0.99,39.6,-55.44,2.4,Football,Bundesliga,Bayer Leverkusen - 1. FSV Mainz 05,1. FSV Mainz 05 - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 3,5",7531691,2.2784,0.6775,0.971,0.437,2,6,53,Dynamic,3,1st Half Inj Time decreased,1,-1,"7531691Over 3,5Strong Dog - Total Corners"
7765724795,0.017256944,704051700,0.01,0.06,30.249086,-20.56937848,1.68,Football,Championship,Middlesbrough - Sheffield Wednesday,Middlesbrough - Total Corners,Slight Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Under 2,5",7528885,1.4771,1.1859,0.949,0.437,6,6,63,Dynamic,3,1st Half Inj Time increased,3,3,"7528885Under 2,5Slight Jolly - Total Corners"
7712525670,0.029826389,632008838,0.01,1,31.484252,31.484252,1.8,Football,Serie A,Genoa CFC - Torino FC,Torino FC - Total Corners,Slight Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 3,5",7521030,1.1198,1.0198,0.928,0.437,1,6,81,Dynamic,3,1st Half Inj Time decreased,2,-2,"7521030Under 3,5Slight Dog - Total Corners"
7733715808,0.028113426,632008838,0.01,0.3,31.896496,-21.68961728,1.68,Football,Championship,Preston North End - Leeds United,Preston North End - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 3,5",7524293,0.6258,2.0151,0.953,0.437,2,6,50,Dynamic,3,1st Half Inj Time decreased,1,-1,"7524293Under 3,5Strong Dog - Total Corners"
7699437785,0.0271875,645266732,0.01,1,47.29344,-34.0512768,1.72,Football,AFC Champions League,Johor Darul Ta'zim - Buriram United FC,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 0,5",7522682,1.6586,1.0678,0.9601,0.3946,2,5,39,Dynamic,2,1st Half Inj Time increased,4,4,"7522682Over 0,51st Half - Total Corners"
7817345785,0.016539352,708001189,0.01,0.3,1.6042155,1.6042155,3,Football,Premier League,Ipswich Town - Brighton & Hove Albion,Total Corners,Total Corners,Total Corners,"Over 11,5",7531145,1.0554,1.6113,0.9345,0.3946,1,7,45,Dynamic,4,1st Half Inj Time decreased,3,-3,"7531145Over 11,5Total Corners"
7865457503,0.034976852,634895452,0.01,1,320,-265.6,1.83,Football,Bundesliga,Bayer Leverkusen - TSG Hoffenheim,Bayer Leverkusen - Total Corners,Strong Jolly - Total Corners,Strong Corner Jolly - Total Corners,"Under 6,5",7538295,3.0424,0.7684,0.9922,0.4559,3,6,20,Dynamic,3,1st Half Inj Time increased,1,1,"7538295Under 6,5Strong Jolly - Total Corners"
7777434604,0.021064815,625531506,0.3,0.3,7.7303295,7.7303295,2.05,Football,Premier League,Manchester United - Newcastle United,Total Corners,Total Corners,Total Corners,"Over 6,5",7525443,1.4492,1.357,0.9275,0.437,3,7,71,Dynamic,4,1st Half Inj Time decreased,1,-1,"7525443Over 6,5Total Corners"
7771403691,0.010081019,700880608,0.01,1,5,-1.35,1.27,Football,Serie A,SS Lazio - Atalanta BC,Total Corners,Total Corners,Total Corners,"Over 6,5",7529515,1.2404,1.2836,0.9052,0.4583,3,6,29,Dynamic,3,1st Half Inj Time decreased,1,-1,"7529515Over 6,5Total Corners"
7797198093,0.015034722,704902998,0.01,1,15.77122,15.77122,2.7,Football,EFL Cup,Tottenham Hotspur - Liverpool,Most Corners,Most Corners,Most Corners,Liverpool FC,7531244,1.3817,2.3819,0.964,0.4726,8,5,21,Dynamic,2,1st Half Inj Time decreased,1,-1,7531244Liverpool FCMost Corners
7747771961,0.017800926,641820437,0.01,1,42.92557646,27.75440702,2.2,Football,UEFA Conference League,Chelsea - Shamrock Rovers,Shamrock Rovers - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 3,5",7520141,3.3064,0.6086,0.9662,0.437,3,5,65,Dynamic,2,1st Half Inj Time increased,1,1,"7520141Over 3,5Strong Dog - Total Corners"
7687187581,0.032696759,560431955,0.5,0.5,54.04925835,54.04925835,2.05,Football,Premier League,Brighton & Hove Albion - Southampton FC,Southampton FC - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 6,5",7508301,2.4256,0.9852,0.9728,0.437,4,7,85,Dynamic,4,No change in 1st Half Inj Time,0,0,"7508301Over 6,5Strong Dog - Total Corners"
7837812116,0.027418981,705581104,0.01,1,27.87519498,27.87519498,2.85,Football,Carioca,Boavista SC Saquarema RJ - Sampaio Correa FE RJ,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 4,5",7536572,1.7743,0.8921,0.9849,0.4341,2,5,36,Dynamic,2,1st Half Inj Time increased,3,3,"7536572Over 4,51st Half - Total Corners"
7786582397,0.016006944,707776692,0.01,1,5,-3.79,2.15,Football,Premier League,Tottenham Hotspur - Newcastle United,Total Corners,Total Corners,Total Corners,"Over 16,5",7526873,1.3553,2.0337,0.9418,0.3988,4,7,45,Dynamic,4,No change in 1st Half Inj Time,0,0,"7526873Over 16,5Total Corners"
7656688305,0.014988426,703331182,0.01,0.3,20,20,2.2,Football,World Cup Qualification - CONMEBOL,Bolivia - Paraguay,Paraguay - Total Corners,Slight Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 2,5",7507628,1.0764,0.776,0.9476,0.4453,2,5,21,Dynamic,2,1st Half Inj Time increased,1,1,"7507628Over 2,5Slight Dog - Total Corners"
7656689054,0.015243056,703106203,0.01,0.01,0.984354,-1.1320071,2.15,Football,World Cup Qualification - CONMEBOL,Bolivia - Paraguay,Total Corners,Total Corners,Total Corners,"Under 6,5",7507628,1.0764,0.776,0.9476,0.4453,2,5,21,Dynamic,2,1st Half Inj Time increased,1,1,"7507628Under 6,5Total Corners"
7837956132,0.030069444,705581104,0.01,1,48.060681,48.060681,2.25,Football,Carioca,AA Portuguesa RJ - Fluminense FC RJ,Fluminense FC RJ - Total Corners,Medium Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Under 5,5",7536573,0.7247,1.684,0.9956,0.4438,2,5,13,Dynamic,2,1st Half Inj Time increased,1,1,"7536573Under 5,5Medium Jolly - Total Corners"
7799723224,0.018275463,707951301,0.3,0.3,0.41654882,-0.72856446,2.75,Football,"Liga MX, Clausura - Women",Atlas FC (Women) - CF Pachuca (Women),Total Corners,Total Corners,Total Corners,"Over 13,5",7534034,0.9915,2.1567,0.9299,0.437,1,5,68,Dynamic,2,1st Half Inj Time decreased,1,-1,"7534034Over 13,5Total Corners"
7801397397,0.026875,512808711,0.3,0.3,10,-13,2.3,Football,Ligue 1,AJ Auxerre - Lille OSC,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 4,5",7529855,0.8001,1.6777,0.9274,0.4673,3,6,33,Dynamic,3,1st Half Inj Time decreased,1,-1,"7529855Over 4,51st Half - Total Corners"
7694520805,0.035520833,703569108,0.01,1,30,-24.9,1.83,Football,Premier League,Liverpool - Manchester City,Total Corners,Total Corners,Total Corners,"Over 10,5",7510208,1.7941,1.2131,0.9169,0.4063,3,7,45,Dynamic,4,1st Half Inj Time decreased,1,-1,"7510208Over 10,5Total Corners"
7853724784,0.028888889,646453415,0.01,0.01,1,1,3.7,Football,UEFA Champions League,FC Barcelona - Atalanta BC,Total Corners,Total Corners,Total Corners,"Under 7,5",7542128,2.3003,1.6654,0.9213,0.437,2,5,81,Dynamic,2,No change in 1st Half Inj Time,0,0,"7542128Under 7,5Total Corners"
7786573349,0.014409722,707313681,0.01,1,31.020074,-28.84866882,1.93,Football,Premier League,Tottenham Hotspur - Newcastle United,Newcastle United - Total Corners,Medium Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 9,5",7526873,1.3553,2.0337,0.9418,0.3988,4,7,45,Dynamic,4,No change in 1st Half Inj Time,0,0,"7526873Over 9,5Medium Jolly - Total Corners"
7886459920,0.041388889,708092451,0.01,1,70,70,1.85,Football,Bundesliga,RB Leipzig - FC St. Pauli,RB Leipzig - Total Corners,Medium Jolly - Total Corners,Slight Corner Dog - Total Corners,"Under 3,5",7541321,1.6754,0.9017,0.9449,0.437,1,6,71,Dynamic,3,1st Half Inj Time decreased,2,-2,"7541321Under 3,5Medium Jolly - Total Corners"
7897551431,0.000949074,708776539,0.01,0.99,25,-40,2.6,Football,UEFA Conference League,Molde FK - Shamrock Rovers,Shamrock Rovers - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 1,5",7531347,1.8709,0.502,0.9701,0.437,2,5,58,Dynamic,2,No change in 1st Half Inj Time,0,0,"7531347Over 1,5Strong Dog - Total Corners"
7822494076,0.038564815,708146944,0.01,0.99,200,-146,1.73,Football,Premier League,Brentford - Liverpool,Liverpool FC - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 12,5",7531526,1.0207,2.6038,0.9516,0.437,1,7,45,Dynamic,4,1st Half Inj Time decreased,3,-3,"7531526Over 12,5Strong Jolly - Total Corners"
7786567991,0.013414352,707825898,0.3,0.3,4.6530111,-10.46927498,3.25,Football,Premier League,Tottenham Hotspur - Newcastle United,Total Corners,Total Corners,Total Corners,"Over 17,5",7526873,1.3553,2.0337,0.9418,0.3988,4,7,45,Dynamic,4,No change in 1st Half Inj Time,0,0,"7526873Over 17,5Total Corners"
7611749312,0.000949074,614401259,0.01,0.3,7.77733141,7.77733141,1.8,Football,Brasileiro Serie A,SC Corinthians SP - SE Palmeiras SP,Total Corners,Total Corners,Total Corners,"Over 13,5",7501750,1.0155,1.502,0.946,0.438,5,5,45,Dynamic,2,1st Half Inj Time increased,3,3,"7501750Over 13,5Total Corners"
7614265564,0.024247685,638528241,0.01,1,8.3008,-6.889664,1.83,Football,UEFA Champions League,Lille OSC - Juventus,Juventus FC - Total Corners,Slight Jolly - Total Corners,Slight Corner Dog - Total Corners,"Over 3,5",6572299,1.0163,1.419,0.9351,0.4299,2,5,33,Dynamic,2,1st Half Inj Time increased,1,1,"6572299Over 3,5Slight Jolly - Total Corners"
7754486573,0.026261574,647818041,0.06,0.06,1.53713,-2.613121,2.7,Football,LaLiga,FC Barcelona - Atletico Madrid,FC Barcelona - Total Corners,Strong Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 7,5",7527272,2.3947,1.0173,0.902,0.437,1,7,79,Dynamic,4,1st Half Inj Time decreased,3,-3,"7527272Over 7,5Strong Jolly - Total Corners"
7620836850,0.006087963,413624494,0.3,0.3,10,10,1.75,Football,UEFA Europa League,FK Rigas Futbola Skola - RSC Anderlecht,Total Corners,Total Corners,Total Corners,"Over 12,5",6573401,1.0059,1.5833,0.9592,0.472,1,5,50,Dynamic,2,1st Half Inj Time decreased,1,-1,"6573401Over 12,5Total Corners"
7673359965,0.034108796,647416533,0.01,1,1.6394217,-0.54100916,1.33,Football,"Primera A, Clausura",CD Tolima - CD Junior FC,Total Corners,Total Corners,Total Corners,"Over 9,5",7519548,1.2242,0.7453,0.951,0.437,3,5,67,Dynamic,2,1st Half Inj Time increased,1,1,"7519548Over 9,5Total Corners"
7686973583,0.019675926,560527425,0.5,0.5,120.109463,-138.1258825,2.15,Football,Premier League,Brighton & Hove Albion - Southampton FC,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 5,5",7508301,2.5699,1.0607,0.9728,0.45,4,7,27,Dynamic,4,No change in 1st Half Inj Time,0,0,"7508301Over 5,51st Half - Total Corners"
7723737690,0.004201389,703761824,0.01,0.3,200.1345676,200.1345676,1.9,Football,UEFA Champions League,Stade Brest 29 - PSV Eindhoven,Total Corners,Total Corners,Total Corners,"Over 14,5",7515350,0.8339,2.0922,0.9417,0.437,2,5,47,Dynamic,2,No change in 1st Half Inj Time,0,0,"7515350Over 14,5Total Corners"
7694509313,0.034131944,703060214,0.01,1,30,30,2.15,Football,Premier League,Liverpool - Manchester City,Manchester City - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 2,5",7510208,1.7941,1.2131,0.9169,0.4063,3,7,45,Dynamic,4,1st Half Inj Time decreased,1,-1,"7510208Under 2,5Medium Dog - Total Corners"
7925195239,0.014502315,563261534,0.01,0.01,1.00204004,1.00204004,2.15,Football,LaLiga,Athletic Bilbao - Real Valladolid,Athletic Bilbao - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 5,5",7561312,2.1758,0.4902,0.9887,0.4254,3,7,59,Dynamic,4,1st Half Inj Time decreased,1,-1,"7561312Over 5,5Strong Jolly - Total Corners"
7687117067,0.016319444,648794044,0.01,1,12.6914424,12.6914424,2.05,Football,Championship,Sheffield United - Sunderland AFC,Most Corners,Most Corners,Most Corners,Sunderland AFC,7516900,1.4576,1.1635,0.9421,0.437,3,6,63,Dynamic,3,No change in 1st Half Inj Time,0,0,7516900Sunderland AFCMost Corners
7909975109,0.007916667,704623542,0.01,1,8.351739,-6.01325208,1.72,Football,Liga Profesional de Futbol,Velez Sarsfield - Godoy Cruz,Total Corners,Total Corners,Total Corners,"Under 12,5",7562222,1.94,0.5569,0.9475,0.437,3,5,81,Dynamic,2,1st Half Inj Time increased,1,1,"7562222Under 12,5Total Corners"
7909975358,0.008078704,704623542,0.01,1,4.1758695,-13.3627824,4.2,Football,Liga Profesional de Futbol,Velez Sarsfield - Godoy Cruz,Total Corners,Total Corners,Total Corners,"Under 11,5",7562222,1.94,0.5569,0.9475,0.437,3,5,81,Dynamic,2,1st Half Inj Time increased,1,1,"7562222Under 11,5Total Corners"
7864973410,0.038715278,708107586,0.3,0.3,16.34684,-20.43355,2.25,Football,Premier League,Manchester Utd - Crystal Palace,Manchester United - Total Corners,Manchester United - Total Corners,Manchester United - Total Corners,"Over 9,5",7535300,1.8899,0.9989,0.9284,0.437,1,7,45,Dynamic,4,1st Half Inj Time decreased,3,-3,"7535300Over 9,5Manchester United - Total Corners"
7907359685,0.016412037,709410262,0.01,1,71.4751805,67.26645592,1.52,Football,Carioca,Fluminense FC RJ - Nova Iguacu RJ,Total Corners,Total Corners,Total Corners,"Under 12,5",7558252,1.6541,0.5748,0.9513,0.437,2,5,60,Dynamic,2,No change in 1st Half Inj Time,0,0,"7558252Under 12,5Total Corners"
7677596925,0.023599537,703559806,0.01,0.06,1.6398845,1.6398845,2.8,Football,CAF Champions League,Esperance Sportive de Tunis - Djoliba,Total Corners,Total Corners,Total Corners,"Over 14,5",7519387,2.0823,0.4861,0.9549,0.437,3,5,73,Dynamic,2,1st Half Inj Time increased,1,1,"7519387Over 14,5Total Corners"
