SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative,Concat
7863680304,0.0346875,509908541,0.01,0.99,10,10,4.75,Football,"Liga MX, Clausura",Deportivo Toluca FC - Tigres UANL,Total Corners,Total Corners,Total Corners,"Over 13,5",7540290,1.7537,1.2794,0.9314,0.437,5,5,67,Dynamic,2,1st Half Inj Time increased,3,3,"7540290Over 13,5Total Corners"
7921768311,0.028842593,704235552,0.01,0.01,1,1,2.8,Football,Bundesliga,VfL Wolfsburg - VfL Bochum,Total Corners,Total Corners,Total Corners,"Over 11,5",7557237,2.0593,1.0908,0.9618,0.437,1,6,53,Dynamic,3,1st Half Inj Time decreased,2,-2,"7557237Over 11,5Total Corners"
7668793074,0.017256944,648151419,0.3,0.3,32.788434,32.788434,5,Football,Brasileiro Serie A,Botafogo FR RJ - EC Vitoria Salvador BA,Total Corners,Total Corners,Total Corners,"Over 12,5",7513012,2.1794,0.4745,0.9954,0.3908,5,5,45,Dynamic,2,1st Half Inj Time increased,3,3,"7513012Over 12,5Total Corners"
7760797336,0.017731481,704232538,0.3,0.3,13.1226,-49.86588,4.8,Football,Primeira Liga,CF Estrela da Amadora - Rio Ave FC,Most Corners,Most Corners,Most Corners,Rio Ave FC,7528130,1.2312,1.5074,0.9469,0.437,1,5,78,Dynamic,2,1st Half Inj Time decreased,1,-1,7528130Rio Ave FCMost Corners
7922455493,0.012488426,707252997,0.3,1,5.857159,5.857159,3.75,Football,Serie A,Torino FC - AC Milan,Total Corners,Total Corners,Total Corners,"Over 15,5",7560743,0.8577,1.9266,0.9494,0.437,1,6,58,Dynamic,3,1st Half Inj Time decreased,2,-2,"7560743Over 15,5Total Corners"
7601755600,0.032881944,472783112,0.01,0.01,0.9970195,0.9970195,2.5,Football,Premier League,Newcastle United - Arsenal,Total Corners,Total Corners,Total Corners,"Over 12,5",6569869,0.9183,1.8251,0.9665,0.4448,4,7,17,Dynamic,4,1st Half Inj Time decreased,1,-1,"6569869Over 12,5Total Corners"
7674364261,0.041145833,557158132,0.3,0.06,1,-0.23,1.23,Football,Serie A,FC Empoli - Udinese Calcio,Total Corners,Total Corners,Total Corners,"Under 9,5",7510671,0.9082,1.0232,0.8929,0.4427,3,6,28,Dynamic,3,1st Half Inj Time decreased,2,-2,"7510671Under 9,5Total Corners"
7876822023,0.03875,639106261,0.3,0.3,3.4467,3.4467,1.83,Football,Superliga Cup,CA Bucaramanga - Atletico Nacional Medellin,Total Corners,Total Corners,Total Corners,"Over 9,5",7556022,0.9372,1.1715,0.9564,0.4459,2,5,22,Dynamic,2,1st Half Inj Time increased,3,3,"7556022Over 9,5Total Corners"
7934179537,0.004884259,709780672,0.01,0.01,0.17490457,0.17490457,2.55,Football,Premier League,Brentford - Everton FC,Total Corners,Total Corners,Total Corners,"Under 6,5",7545626,1.5254,1.2148,0.9393,0.437,4,7,75,Dynamic,4,No change in 1st Half Inj Time,0,0,"7545626Under 6,5Total Corners"
7917012608,0.034953704,709478340,0.01,1,24.36364095,24.36364095,1.51,Football,Paulista Serie A1,SE Palmeiras SP - Botafogo FC SP,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 9,5",7559755,2.6855,0.4901,0.9061,0.4677,2,5,19,Dynamic,2,1st Half Inj Time increased,2,2,"7559755Over 9,51st Half - Total Corners"
7911304609,0.018831019,705718693,0.01,0.01,0.28389521,0.28389521,3.75,Football,UEFA Champions League,AC Milan - Feyenoord Rotterdam,Total Corners,Total Corners,Total Corners,"Over 10,5",7559915,2.1792,0.7445,0.9636,0.4489,2,5,40,Dynamic,2,1st Half Inj Time decreased,1,-1,"7559915Over 10,5Total Corners"
7718391774,0.000868056,703470216,0.01,0.01,0.98867506,0.98867506,2.1,Football,Brasileiro Serie A,SE Palmeiras SP - Fluminense FC RJ,Total Corners,Total Corners,Total Corners,"Under 9,5",7522075,2.3641,0.7784,0.9564,0.5099,3,5,45,Dynamic,2,1st Half Inj Time increased,1,1,"7522075Under 9,5Total Corners"
7911303316,0.018460648,709398229,0.01,1,39.41133448,4.55234313,1.6,Football,UEFA Champions League,AC Milan - Feyenoord Rotterdam,2nd Half - Total Corners,2nd Half - Total Corners,2nd Half - Total Corners,"Under 5,5",7559915,2.1792,0.7445,0.9636,0.4489,2,5,40,Dynamic,2,1st Half Inj Time decreased,1,-1,"7559915Under 5,52nd Half - Total Corners"
7664138383,0.007650463,651189605,0.01,0.01,16.394217,16.394217,2.75,Football,Bundesliga,Bayern Munich - FC Augsburg,FC Augsburg - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 0,5",7508370,3.7397,0.4249,0.9911,0.437,3,6,80,Dynamic,3,No change in 1st Half Inj Time,0,0,"7508370Over 0,5Strong Dog - Total Corners"
7657586770,0.012326389,625604903,0.01,1,50,50,4.33,Football,World Cup Qualification - CONMEBOL,Brazil - Uruguay,Total Corners,Total Corners,Total Corners,"Over 8,5",7507631,1.7957,0.632,0.9381,0.437,2,5,71,Dynamic,2,No change in 1st Half Inj Time,0,0,"7507631Over 8,5Total Corners"
7717644896,0.034872685,566232793,0.5,0.5,12.0705215,12.0705215,2,Football,Premier League,Tottenham Hotspur - Chelsea,Chelsea FC - Total Corners,Strong Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 10,5",7514094,1.3728,2.4818,0.9392,0.437,2,7,62,Dynamic,4,1st Half Inj Time decreased,2,-2,"7514094Over 10,5Strong Jolly - Total Corners"
7628972710,0.038252315,557366183,0.01,1,108.312155,108.312155,2.2,Football,Brasileiro Serie A,Fortaleza EC CE - CR Vasco da Gama RJ,CR Vasco da Gama RJ - Total Corners,Medium Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 2,5",7504372,1.6631,0.9469,0.9546,0.4215,2,5,45,Dynamic,2,No change in 1st Half Inj Time,0,0,"7504372Over 2,5Medium Dog - Total Corners"
7739158538,0.039953704,647712755,0.01,1,15,-28.05,2.87,Football,LaLiga,Villarreal CF - Real Betis,Total Corners,Total Corners,Total Corners,"Under 10,5",7525279,2.0072,0.9131,0.9367,0.437,3,7,67,Dynamic,4,1st Half Inj Time decreased,1,-1,"7525279Under 10,5Total Corners"
7857017628,0.013090278,708055174,0.3,0.3,1.51071,-1.66128999,2.1,Football,Carioca,CR Flamengo RJ - Sampaio Correa FE RJ,Total Corners,Total Corners,Total Corners,"Over 15,5",7539496,2.8993,0.5965,0.9873,0.437,2,5,83,Dynamic,2,No change in 1st Half Inj Time,0,0,"7539496Over 15,5Total Corners"
7753050300,0.038842593,704232135,0.3,1,109.2612294,-131.1134752,2.2,Football,Bundesliga,VfB Stuttgart - FC St. Pauli,FC St. Pauli - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 1,5",7524747,2.5349,0.8834,0.9576,0.437,2,6,66,Dynamic,3,1st Half Inj Time decreased,1,-1,"7524747Under 1,5Strong Dog - Total Corners"
